Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
AuxBud_1	28031632	15255346	487442	0	923228	0	0	0	0	8690717	0	0	1761445	0	913454	54.42189737650666
Crown_1	32932448	17762328	448415	0	1081528	0	0	0	0	10039788	0	0	2541565	0	1058824	53.935644261853845
Crown_2	30657654	16483233	409667	0	1146074	0	0	0	0	9307452	0	0	2305059	0	1006169	53.765474031378915
Crown_3	28713319	15463547	344671	0	954539	0	0	0	0	8984995	0	0	2024642	0	940925	53.854961873268635
GreenFruit_1	28379511	17000366	166456	0	958159	0	0	0	0	6921123	0	0	2301440	0	1031967	59.90366077836929
GreenFruit_2	30196466	17878425	200462	0	1081075	0	0	0	0	7394285	0	0	2625124	0	1017095	59.20701117806302
GreenFruit_3	29028896	17263655	193899	0	997399	0	0	0	0	7132985	0	0	2301601	0	1139357	59.47058751390338
LeafCtrl_1	30663021	19095873	319514	0	885949	0	0	0	0	6972760	0	0	2263279	0	1125646	62.27655455083829
LeafCtrl_2	29151340	17892725	334061	0	833648	0	0	0	0	6625902	0	0	2390516	0	1074488	61.378739364982884
LeafCtrl_3	24972087	15239058	275888	0	681933	0	0	0	0	5923591	0	0	2011283	0	840334	61.0243669261604
LeafStress_1	31125043	18831262	385057	0	925941	0	0	0	0	7416658	0	0	2590913	0	975212	60.50196300130413
LeafStress_2	30633456	18705452	464581	0	1019673	0	0	0	0	6999485	0	0	2469256	0	975009	61.06216680220476
LeafStress_3	28275273	17275910	343953	0	792050	0	0	0	0	6471027	0	0	2397329	0	995004	61.099003358871194
RedFruit_1	30453822	17965548	205981	0	1068711	0	0	0	0	7990682	0	0	2166264	0	1056636	58.992753027846554
RedFruit_2	29177361	17136672	213706	0	1017990	0	0	0	0	7719078	0	0	2060522	0	1029393	58.732768875156324
RedFruit_3	27997312	16341373	205045	0	901322	0	0	0	0	7649809	0	0	1944793	0	954970	58.36764972294483
RootsCtrl_1	25697928	15426069	1181330	0	825007	0	0	0	0	5504064	0	0	1963921	0	797537	60.02845443414737
RootsCtrl_3	22071339	13694809	565639	0	674681	0	0	0	0	4656569	0	0	1776854	0	702787	62.04793012331513
RootsStress_1	27768381	16951280	566495	0	895525	0	0	0	0	6000066	0	0	2480205	0	874810	61.04525863427184
RootsStress_2	28560459	17364797	362225	0	867149	0	0	0	0	6417098	0	0	2720335	0	828855	60.80013279898618
RootsStress_3	32920720	20467737	434389	0	1019321	0	0	0	0	7120449	0	0	2852372	0	1026452	62.17281092272587
