Sample	featurecounts-Assigned	featurecounts-percent_assigned
AuxBud_1	15.255346	54.42189737650666
Crown_1	17.762328	53.935644261853845
Crown_2	16.483233	53.765474031378915
Crown_3	15.463547	53.854961873268635
GreenFruit_1	17.000366	59.90366077836929
GreenFruit_2	17.878425	59.20701117806302
GreenFruit_3	17.263655	59.47058751390338
LeafCtrl_1	19.095872999999997	62.27655455083829
LeafCtrl_2	17.892725	61.378739364982884
LeafCtrl_3	15.239058	61.0243669261604
LeafStress_1	18.831262	60.50196300130413
LeafStress_2	18.705451999999998	61.06216680220476
LeafStress_3	17.27591	61.099003358871194
RedFruit_1	17.965548	58.992753027846554
RedFruit_2	17.136672	58.732768875156324
RedFruit_3	16.341373	58.36764972294483
RootsCtrl_1	15.426069	60.02845443414737
RootsCtrl_3	13.694809	62.04793012331513
RootsStress_1	16.95128	61.04525863427184
RootsStress_2	17.364797	60.80013279898618
RootsStress_3	20.467737	62.17281092272587
