"gene_id","aqp_family_subfamily","subfamilia_phylo","crown","green_fruit","leaf","red_fruit","roots","aux_bud"
"Fxa1Ag01329","FaPIP2","PIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa1Ag02792","FaSIP2","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa1Bg01161","FaPIP2","PIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa1Cg01161","FaPIP2","PIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa1Cg02650","FaSIP2","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa1Dg01169","FaPIP2","PIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa1Dg02410","FaSIP2","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa2Ag00184","FaXIP2","XIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa2Ag00187","FaXIP1","XIP",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Fxa2Ag01701","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa2Ag03929","FaTIP4","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa2Bg00218","FaXIP2","XIP",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Fxa2Bg00222","FaXIP2","XIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa2Bg01497","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa2Bg03539","FaTIP4","TIP",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa2Cg00636","FaTIP4","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa2Dg00210","FaXIP2","XIP",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Fxa2Dg00213","FaXIP1","XIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa2Dg01359","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa2Dg03205","FaTIP4","TIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa3Ag00839","FaNIP1","NIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa3Ag00840","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa3Ag00841","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa3Ag03208","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa3Ag03414","FaTIP1","TIP",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Fxa3Bg00729","FaNIP1","NIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa3Bg00730","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa3Bg03093","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa3Bg03276","FaTIP1","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa3Cg00714","FaNIP1","NIP",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa3Cg00715","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa3Cg03061","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa3Cg03258","FaTIP1","TIP",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"Fxa3Dg00712","FaNIP1","NIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa3Dg00713","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa3Dg02827","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
