"homeolog_group","tissue","subgenome","family","sub_subfamily","mean_proportion","sd_proportion","mean_tpm"
"HG-01","aux_bud","A","PIP","PIP2;8",0,NA,0
"HG-01","aux_bud","B","PIP","PIP2;8",0,NA,0
"HG-01","aux_bud","C","PIP","PIP2;8",0.5,NA,0.099155013230047
"HG-01","aux_bud","D","PIP","PIP2;8",0.5,NA,0.099155013230047
"HG-01","green_fruit","A","PIP","PIP2;8",0.222222222222222,0.384900179459751,0.063278186611992
"HG-01","green_fruit","B","PIP","PIP2;8",0,0,0
"HG-01","green_fruit","C","PIP","PIP2;8",0.527777777777778,0.411073571859687,0.0926918525230997
"HG-01","green_fruit","D","PIP","PIP2;8",0.25,0.433012701892219,0.0925633530641409
"HG-01","leaf","A","PIP","PIP2;8",0,0,0
"HG-01","leaf","B","PIP","PIP2;8",0.111111111111111,0.192450089729875,0.0577041335759273
"HG-01","leaf","C","PIP","PIP2;8",0.444444444444444,0.192450089729875,0.146018415270816
"HG-01","leaf","D","PIP","PIP2;8",0.444444444444444,0.192450089729875,0.152601610414914
"HG-01","red_fruit","A","PIP","PIP2;8",0,NA,0
"HG-01","red_fruit","B","PIP","PIP2;8",1,NA,0.0934055562081526
"HG-01","red_fruit","C","PIP","PIP2;8",0,NA,0
"HG-01","red_fruit","D","PIP","PIP2;8",0,NA,0
"HG-01","roots","A","PIP","PIP2;8",0.5,0.707106781186548,0.0586411616358029
"HG-01","roots","B","PIP","PIP2;8",0,0,0
"HG-01","roots","C","PIP","PIP2;8",0,0,0
"HG-01","roots","D","PIP","PIP2;8",0.5,0.707106781186548,0.0521301555096346
"HG-02","aux_bud","A","SIP","SIP2;2",0.216225775461218,NA,4.56884926230666
"HG-02","aux_bud","C","SIP","SIP2;2",0.305577233394417,NA,6.45684500098927
"HG-02","aux_bud","D","SIP","SIP2;2",0.478196991144366,NA,10.1042993859863
"HG-02","crown","A","SIP","SIP2;2",0.312576198373822,0.00630151032865351,12.5407459260923
"HG-02","crown","C","SIP","SIP2;2",0.0779493878475211,0.0164074064552204,3.13705058618315
"HG-02","crown","D","SIP","SIP2;2",0.609474413778656,0.0173228449963328,24.5567416997292
"HG-02","green_fruit","A","SIP","SIP2;2",0.337438769262939,0.0265882766039371,10.849274104827
"HG-02","green_fruit","C","SIP","SIP2;2",0.18484519448152,0.0167762853528729,5.92794290262839
"HG-02","green_fruit","D","SIP","SIP2;2",0.477716036255541,0.0340935219799798,15.4681289518748
"HG-02","leaf","A","SIP","SIP2;2",0.322088989339074,0.0241078237015891,15.2313308358551
"HG-02","leaf","C","SIP","SIP2;2",0.165597644314595,0.0150172251330605,7.8545213874822
"HG-02","leaf","D","SIP","SIP2;2",0.512313366346331,0.0390942271637249,23.7848636806167
"HG-02","red_fruit","A","SIP","SIP2;2",0.311594172844722,0.0332080383538217,5.93387331275261
"HG-02","red_fruit","C","SIP","SIP2;2",0.203672510898022,0.0320027915197861,3.82325990493998
"HG-02","red_fruit","D","SIP","SIP2;2",0.484733316257256,0.00510115044966912,9.18772342777384
"HG-02","roots","A","SIP","SIP2;2",0.365594869227248,0.0766107791708219,15.6402822825727
"HG-02","roots","C","SIP","SIP2;2",0.195277962318586,0.0128675871069052,8.33746723960417
"HG-02","roots","D","SIP","SIP2;2",0.439127168454166,0.0637431920639168,18.7379630537324
"HG-03","aux_bud","A","XIP","XIP2;1",0.1041100607285,NA,0.302776915398894
"HG-03","aux_bud","B","XIP","XIP2;1",0.408519958013735,NA,1.18807358194561
"HG-03","aux_bud","D","XIP","XIP2;1",0.487369981257765,NA,1.41738827689346
"HG-03","crown","A","XIP","XIP2;1",0.901338971106413,0.170885914770714,0.120595539558035
"HG-03","crown","B","XIP","XIP2;1",0.098661028893587,0.170885914770714,0.0264662271241883
"HG-03","crown","D","XIP","XIP2;1",0,0,0
"HG-03","green_fruit","A","XIP","XIP2;1",0.666666666666667,0.577350269189626,0.286903667203658
"HG-03","green_fruit","B","XIP","XIP2;1",0.333333333333333,0.577350269189626,0.026406962585866
"HG-03","green_fruit","D","XIP","XIP2;1",0,0,0
"HG-03","leaf","A","XIP","XIP2;1",0.251835345548955,0.140650104936911,0.415735580825052
"HG-03","leaf","B","XIP","XIP2;1",0.194964929415397,0.2659518723633,0.361018677378417
"HG-03","leaf","D","XIP","XIP2;1",0.553199725035647,0.264428234653776,0.681818063349036
"HG-03","roots","A","XIP","XIP2;1",0.475504346174258,0.315465728840672,0.769363812383121
"HG-03","roots","B","XIP","XIP2;1",0.377127051942195,0.367199741884558,0.691492376681494
"HG-03","roots","D","XIP","XIP2;1",0.147368601883547,0.051734013043886,0.244503903113308
"HG-04","aux_bud","A","XIP","XIP1;1",0,NA,0
"HG-04","aux_bud","D","XIP","XIP1;1",1,NA,0.295392112584287
"HG-04","crown","A","XIP","XIP1;1",0.2,0.346410161513775,0.0921246024287948
"HG-04","crown","D","XIP","XIP1;1",0.8,0.346410161513775,0.146857250029108
"HG-04","green_fruit","A","XIP","XIP1;1",0.166666666666667,0.235702260395516,0.0471279177293146
"HG-04","green_fruit","D","XIP","XIP1;1",0.833333333333333,0.235702260395516,0.139237635994071
"HG-04","leaf","A","XIP","XIP1;1",0.728009259259259,0.0458456072230055,1.80285978788511
"HG-04","leaf","D","XIP","XIP1;1",0.271990740740741,0.0458456072230055,0.740432028558387
"HG-04","red_fruit","A","XIP","XIP1;1",0,NA,0
"HG-04","red_fruit","D","XIP","XIP1;1",1,NA,0.182354884902062
"HG-04","roots","A","XIP","XIP1;1",0.6875,0.0883883476483184,0.912365112104423
"HG-04","roots","D","XIP","XIP1;1",0.3125,0.0883883476483184,0.381765053935871
"HG-05","aux_bud","A","TIP","TIP4;2",0.308953900376399,NA,58.7759778836787
"HG-05","aux_bud","B","TIP","TIP4;2",0.0049105255688964,NA,0.934187727952509
"HG-05","aux_bud","C","TIP","TIP4;2",0.56593807181531,NA,107.665135646527
"HG-05","aux_bud","D","TIP","TIP4;2",0.120197502239395,NA,22.8666015372816
"HG-05","crown","A","TIP","TIP4;2",0.237335718154056,0.0172126872300865,8.69968691167601
"HG-05","crown","B","TIP","TIP4;2",0.0839020602528539,0.0229319725021282,2.82886180073086
"HG-05","crown","C","TIP","TIP4;2",0.505700672266375,0.00862843421899481,18.2738942238812
"HG-05","crown","D","TIP","TIP4;2",0.173061549326716,0.00728950666943634,6.24256781268853
"HG-05","green_fruit","A","TIP","TIP4;2",0.548482676713575,0.0320884761148613,66.6942481822669
"HG-05","green_fruit","B","TIP","TIP4;2",0.000841792186376806,0.00145802683621912,0.124203052234282
"HG-05","green_fruit","C","TIP","TIP4;2",0.390632855723542,0.031089862529898,48.5742104584364
"HG-05","green_fruit","D","TIP","TIP4;2",0.0600426753765064,0.00586153863960026,7.31308919313267
"HG-05","leaf","A","TIP","TIP4;2",0.378831565435994,0.0175396609186334,11.4587093911728
"HG-05","leaf","B","TIP","TIP4;2",0,0,0
"HG-05","leaf","C","TIP","TIP4;2",0.561561251843649,0.0301162908941161,17.0424071659722
"HG-05","leaf","D","TIP","TIP4;2",0.0596071827203571,0.0380189297079816,1.8357759113537
"HG-05","red_fruit","A","TIP","TIP4;2",0.497997849101631,0.0672405098201656,2.50100102129786
"HG-05","red_fruit","B","TIP","TIP4;2",0,0,0
"HG-05","red_fruit","C","TIP","TIP4;2",0.466459446261871,0.048410821308128,2.3373499151984
"HG-05","red_fruit","D","TIP","TIP4;2",0.0355427046364975,0.0189282582983187,0.175489638921323
"HG-05","roots","A","TIP","TIP4;2",0.205347208163997,0.0108601319867985,22.6787489844287
"HG-05","roots","B","TIP","TIP4;2",0.0179433967753217,0.000341943600596184,1.97473223184174
"HG-05","roots","C","TIP","TIP4;2",0.599172725134625,0.0455158418203268,65.2887512013154
"HG-05","roots","D","TIP","TIP4;2",0.177536669926056,0.0343137662329323,19.8928689355714
"HG-06","aux_bud","A","PIP","PIP2;7",0.292093682211858,NA,59.7218271993283
"HG-06","aux_bud","B","PIP","PIP2;7",0.436693984539409,NA,89.2869797325248
"HG-06","aux_bud","D","PIP","PIP2;7",0.271212333248732,NA,55.4524013595727
"HG-06","crown","A","PIP","PIP2;7",0.245462985792953,0.0288497119552237,41.7092389895753
"HG-06","crown","B","PIP","PIP2;7",0.608930802868191,0.0178848872343536,105.191936809215
"HG-06","crown","D","PIP","PIP2;7",0.145606211338856,0.0277448597520834,25.1510905251007
"HG-06","green_fruit","A","PIP","PIP2;7",0.406704264945905,0.00768307913282923,98.004180814311
"HG-06","green_fruit","B","PIP","PIP2;7",0.309625231813251,0.0342667570971517,74.4772763038184
"HG-06","green_fruit","D","PIP","PIP2;7",0.283670503240844,0.0376659034875423,68.587889106035
"HG-06","leaf","A","PIP","PIP2;7",0.185349725602573,0.00630786865840831,41.0529331170416
"HG-06","leaf","B","PIP","PIP2;7",0.435275398616699,0.0389513038328796,95.7316086826779
"HG-06","leaf","D","PIP","PIP2;7",0.379374875780728,0.0442266820057805,85.7801907188296
"HG-06","red_fruit","A","PIP","PIP2;7",0.0572220965272435,0.0341290545139767,2.28506579806367
"HG-06","red_fruit","B","PIP","PIP2;7",0.0784108237622265,0.0263453949410767,3.03539069609967
"HG-06","red_fruit","D","PIP","PIP2;7",0.86436707971053,0.0556928233973861,33.6179423777637
"HG-06","roots","A","PIP","PIP2;7",0.232133341852226,0.00337344281145455,24.9595198627678
"HG-06","roots","B","PIP","PIP2;7",0.52090119260221,0.0205966093315336,55.6849527419484
"HG-06","roots","D","PIP","PIP2;7",0.246965465545564,0.0172231665200791,26.71092656365
"HG-07","aux_bud","A","NIP","NIP1;1",0.426202205502286,NA,3.59178533129555
"HG-07","aux_bud","B","NIP","NIP1;1",0.455098973580563,NA,3.83531055562677
"HG-07","aux_bud","C","NIP","NIP1;1",0,NA,0
"HG-07","aux_bud","D","NIP","NIP1;1",0.118698820917151,NA,1.00032491223233
"HG-07","crown","A","NIP","NIP1;1",0.270395379375765,0.0473589299070562,2.28775677998418
"HG-07","crown","B","NIP","NIP1;1",0.134288951387424,0.0268362043524561,1.2466968235455
"HG-07","crown","C","NIP","NIP1;1",0.386404364242609,0.0708000863656015,3.50648306658019
"HG-07","crown","D","NIP","NIP1;1",0.208911304994202,0.073981350867176,1.79403749671293
"HG-07","green_fruit","A","NIP","NIP1;1",0.255187397098291,0.046904289293095,2.76659040791192
"HG-07","green_fruit","B","NIP","NIP1;1",0.3139391388858,0.0511285143282264,3.41577806899171
"HG-07","green_fruit","C","NIP","NIP1;1",0.02122130351304,0.0115463778649564,0.230529469973724
"HG-07","green_fruit","D","NIP","NIP1;1",0.409652160502869,0.0924618405433618,4.48273344318346
"HG-07","leaf","A","NIP","NIP1;1",0.423518683608084,0.10194889904297,4.09462689696123
"HG-07","leaf","B","NIP","NIP1;1",0.207374322786794,0.03202921312098,2.23243249746624
"HG-07","leaf","C","NIP","NIP1;1",0.0429071331778736,0.00252420456354966,0.445883972286256
"HG-07","leaf","D","NIP","NIP1;1",0.326199860427249,0.0765236617293618,3.56108566424877
"HG-07","red_fruit","A","NIP","NIP1;1",0.110815144033792,0.0971578991697062,0.159597823802639
"HG-07","red_fruit","B","NIP","NIP1;1",0.110265669232778,0.130918281728468,0.159633118786474
"HG-07","red_fruit","C","NIP","NIP1;1",0.0287688521047537,0.0498291135208683,0.0418686815735135
"HG-07","red_fruit","D","NIP","NIP1;1",0.750150334628677,0.26207453811041,1.2898730181746
"HG-07","roots","A","NIP","NIP1;1",0.234466972408188,0.0266091383179073,16.0130752517128
"HG-07","roots","B","NIP","NIP1;1",0.160372470789335,0.00556054937534687,10.7173312811185
"HG-07","roots","C","NIP","NIP1;1",0.248841472639522,0.0232600366438786,16.9454473653831
"HG-07","roots","D","NIP","NIP1;1",0.356319084162954,0.044308625586439,23.4954164697068
"HG-08","green_fruit","A","NIP","NIP1;1",1,NA,0.0905949245871703
"HG-08","green_fruit","B","NIP","NIP1;1",0,NA,0
"HG-08","green_fruit","C","NIP","NIP1;1",0,NA,0
"HG-08","green_fruit","D","NIP","NIP1;1",0,NA,0
"HG-08","roots","A","NIP","NIP1;1",0,NA,0
"HG-08","roots","B","NIP","NIP1;1",1,NA,0.245775456855938
"HG-08","roots","C","NIP","NIP1;1",0,NA,0
"HG-08","roots","D","NIP","NIP1;1",0,NA,0
"HG-09","aux_bud","A","PIP","PIP2;2",0.221362924177017,NA,8.47775363116902
"HG-09","aux_bud","B","PIP","PIP2;2",0.21677427171016,NA,8.30201749442571
"HG-09","aux_bud","C","PIP","PIP2;2",0.177090339341614,NA,6.78220290493522
"HG-09","aux_bud","D","PIP","PIP2;2",0.38477246477121,NA,14.7360095305728
"HG-09","crown","A","PIP","PIP2;2",0.276608200356663,0.00977681709385875,75.5017321724344
"HG-09","crown","B","PIP","PIP2;2",0.154852964152365,0.00448226031428244,42.2135700037058
"HG-09","crown","C","PIP","PIP2;2",0.178115204297664,0.00141814924183496,48.4089519560232
"HG-09","crown","D","PIP","PIP2;2",0.390423631193308,0.0122643265997563,105.860859438817
"HG-09","green_fruit","A","PIP","PIP2;2",0.0549043314721822,0.00801064257329498,21.1201369407264
"HG-09","green_fruit","B","PIP","PIP2;2",0.375417311010764,0.00367337917286966,143.993368093578
"HG-09","green_fruit","C","PIP","PIP2;2",0.197486309525896,0.00315860555427967,75.7678394280999
"HG-09","green_fruit","D","PIP","PIP2;2",0.372192047991158,0.0127682376707723,142.882099891347
"HG-09","leaf","A","PIP","PIP2;2",0.202372285643815,0.0130642184860571,21.7799929870673
"HG-09","leaf","B","PIP","PIP2;2",0.301889208874236,0.02462499055545,32.4303758229246
"HG-09","leaf","C","PIP","PIP2;2",0.147368551217909,0.0167600871444775,15.9206168315363
"HG-09","leaf","D","PIP","PIP2;2",0.34836995426404,0.0311960563714476,37.7100028229167
