"homeolog_group","subgenome","family","sub_subfamily","mean_proportion","sd_proportion"
"HG-01","A","PIP","PIP2;8",0.166666666666667,0.360041149911548
"HG-01","B","PIP","PIP2;8",0.133333333333333,0.322030594359765
"HG-01","C","PIP","PIP2;8",0.341666666666667,0.320228506376769
"HG-01","D","PIP","PIP2;8",0.358333333333333,0.364408026635725
"HG-02","A","SIP","SIP2;2",0.319900660225159,0.0438828685982157
"HG-02","C","SIP","SIP2;2",0.172821824710437,0.0614391088938087
"HG-02","D","SIP","SIP2;2",0.507277515064403,0.0631248951688334
"HG-03","A","XIP","XIP2;1",0.542886808586927,0.399012542079827
"HG-03","B","XIP","XIP2;1",0.25363766140209,0.324358083451637
"HG-03","D","XIP","XIP2;1",0.203475530010983,0.277119568962701
"HG-04","A","XIP","XIP1;1",0.374363425925926,0.34858890859684
"HG-04","D","XIP","XIP1;1",0.625636574074074,0.34858890859684
"HG-05","A","TIP","TIP4;2",0.380506116328011,0.137962647961632
"HG-05","B","TIP","TIP4;2",0.0196685917624821,0.0348897795412691
"HG-05","C","TIP","TIP4;2",0.502489746691391,0.0780592872763818
"HG-05","D","TIP","TIP4;2",0.0973355452181159,0.0629330031816371
"HG-06","A","PIP","PIP2;7",0.229371838968156,0.118920765827875
"HG-06","B","PIP","PIP2;7",0.385014876061662,0.189830408776169
"HG-06","D","PIP","PIP2;7",0.385613284970182,0.261594362310761
"HG-07","A","NIP","NIP1;1",0.271659064177764,0.126357043516885
"HG-07","B","NIP","NIP1;1",0.204896544135841,0.115606195385544
"HG-07","C","NIP","NIP1;1",0.129039193626258,0.15747360016399
"HG-07","D","NIP","NIP1;1",0.394405198060137,0.232308626534858
"HG-08","A","NIP","NIP1;1",0.5,0.707106781186548
"HG-08","B","NIP","NIP1;1",0.5,0.707106781186548
"HG-08","C","NIP","NIP1;1",0,0
"HG-08","D","NIP","NIP1;1",0,0
"HG-09","A","PIP","PIP2;2",0.17850826269518,0.0797129320998371
"HG-09","B","PIP","PIP2;2",0.323398114008706,0.121214762855843
"HG-09","C","PIP","PIP2;2",0.185067902045165,0.0238242413545223
"HG-09","D","PIP","PIP2;2",0.313025721250949,0.0935106122698366
"HG-10","A","TIP","TIP1;7",0.0995362975689917,0.0771621479843048
"HG-10","B","TIP","TIP1;7",0.321719277729023,0.132422729473861
"HG-10","C","TIP","TIP1;7",0.144209326306466,0.102106931261157
"HG-10","D","TIP","TIP1;7",0.43453509839552,0.193191859887207
"HG-11","B","NIP","NIP7;1",0.520473930178627,0.487981355285454
"HG-11","C","NIP","NIP7;1",0.0579113333918222,0.135350058264466
"HG-11","D","NIP","NIP7;1",0.421614736429551,0.526096440921891
"HG-13","A","PIP","PIP1;3",0.303145453189699,0.193480223282158
"HG-13","B","PIP","PIP1;3",0.2641983880696,0.24120608497837
"HG-13","C","PIP","PIP1;3",0.32874197944722,0.176326668948254
"HG-13","D","PIP","PIP1;3",0.103914179293481,0.0872881686337739
"HG-14","A","NIP","NIP5;1",0.453258076837028,0.214915361640145
