"homeolog_group","dominant_subgenome","dominance_proportion"
"HG-01","D",0.358333333333333
"HG-02","D",0.507277515064403
"HG-03","A",0.542886808586927
"HG-04","D",0.625636574074074
"HG-05","C",0.502489746691391
"HG-06","D",0.385613284970182
"HG-07","D",0.394405198060137
"HG-08","A",0.5
"HG-08","B",0.5
"HG-09","B",0.323398114008706
"HG-10","D",0.43453509839552
"HG-11","B",0.520473930178627
"HG-13","C",0.32874197944722
"HG-14","A",0.453258076837028
"HG-15","D",0.526076035510597
"HG-16","D",0.667077564134112
"HG-17","A",0.680696223953956
"HG-18","D",1
"HG-19","D",0.681569832936518
"HG-20","C",0.351236014204261
"HG-21","A",0.435492977348392
"HG-22","A",0.358513618547752
"HG-23","D",0.369633305537527
"HG-24","B",0.343721567942378
"HG-25","A",0.508415937485068
"HG-26","B",0.299565013865922
"HG-27","A",0.486403893842689
"HG-28","C",0.477156922237495
"HG-29","D",1
"HG-30","C",0.417973506729354
"HG-S1","A",1
