"","GreenFruit_1","GreenFruit_2","GreenFruit_3","RedFruit_1","RedFruit_2","RedFruit_3","Crown_1","Crown_2","Crown_3","LeafCtrl_1","LeafCtrl_2","LeafCtrl_3","RootsCtrl_1","RootsCtrl_3","AuxBud_1"
"HG-01",3,1,4,0,1,0,0,0,0,3,6,3,1,1,2
"HG-02",365,466,414,246,212,246,605,651,402,510,597,731,483,437,254
"HG-03",7,2,1,0,0,0,1,1,3,25,7,21,15,18,33
"HG-04",3,1,0,2,0,0,1,2,5,32,48,9,16,8,3
"HG-05",1980,1163,1897,73,86,43,782,359,455,448,418,425,1540,1017,2444
"HG-06",3138,3565,3509,685,552,500,2865,1712,2349,3748,3752,2030,1052,1283,2576
"HG-07",173,186,172,23,20,24,239,125,104,272,107,159,1157,662,142
"HG-08",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"HG-09",7213,6237,6841,501,312,245,6369,4764,4226,2339,1910,1696,28429,17112,631
"HG-10",196,238,196,57,39,7,319,548,402,277,144,112,9214,6534,446
"HG-11",15,20,13,0,0,0,19,24,14,0,0,0,1,0,0
"HG-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HG-13",178,138,290,7,37,6,58,48,38,6128,5138,4208,157,235,1654
"HG-14",1670,1366,1551,911,660,575,6371,4173,4170,223,155,105,5449,2876,1043
"HG-15",5323,4713,12297,1654,3289,163,98,55,73,90,129,89,63,68,47
"HG-16",516,430,553,2894,2995,1959,16,17,26,42,39,30,19359,10200,4
"HG-17",626,576,564,607,615,520,398,352,476,321,377,351,341,254,451
"HG-18",0,0,0,158,156,160,0,0,0,0,0,0,0,0,0
"HG-19",161,289,208,9899,11153,11404,342,290,234,10,9,11,83,65,51
"HG-20",1064,932,838,210,277,111,958,984,895,120,143,65,1374,538,194
"HG-21",16730,10035,14316,7438,7814,6728,12578,11297,11827,4130,2315,1653,3280,2768,9265
"HG-22",405,320,344,28,22,23,94,83,96,65,38,51,89,36,121
"HG-23",664,493,625,54,77,48,2010,2371,3367,783,521,474,2907,1918,2498
"HG-24",2435,2577,2441,723,818,696,334,297,411,379,296,345,451,448,446
"HG-25",28,25,22,0,0,0,3,19,6,12,6,15,91,193,35
"HG-26",9,22,4,37,43,11,323,717,741,53,40,47,5764,3468,264
"HG-27",3335,2915,3172,1580,1123,826,5312,5386,7756,3528,2609,1726,5662,5522,3530
"HG-28",21874,18522,17872,24477,23795,21261,16829,17488,21776,2732,897,1290,7106,4087,4668
"HG-29",0,2,1,3,0,0,0,0,0,0,0,0,1,0,0
"HG-30",33466,33805,29028,94988,90024,74583,12456,10552,9473,2496,2249,1518,27379,15117,7934
"HG-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HG-S1",0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
