CP139775.1	chr_1A
CP139774.1	chr_1B
CP139773.1	chr_1C
CP139772.1	chr_1D
CP139771.1	chr_2A
CP139770.1	chr_2B
CP139769.1	chr_2C
CP139768.1	chr_2D
CP139767.1	chr_3A
CP139766.1	chr_3B
CP139765.1	chr_3C
CP139764.1	chr_3D
CP139763.1	chr_4A
CP139762.1	chr_4B
CP139761.1	chr_4C
CP139760.1	chr_4D
CP139759.1	chr_5A
CP139758.1	chr_5B
CP139757.1	chr_5C
CP139756.1	chr_5D
CP139755.1	chr_6A
CP139754.1	chr_6B
CP139753.1	chr_6C
CP139752.1	chr_6D
CP139751.1	chr_7A
CP139750.1	chr_7B
CP139749.1	chr_7C
CP139748.1	chr_7D
