ref_gene_id	ref_id	class_code	qry_gene_id	qry_id	num_exons	FPKM	TPM	cov	len	major_iso_id	ref_match_len
Fxa1Ag01329	Fxa1Ag01329-mRNA-1	o	gene_57811	mRNA_57811	4	0.000000	0.000000	0.000000	852	mRNA_57811	855
Fxa1Ag02792	Fxa1Ag02792-mRNA-1	o	gene_57381	mRNA_57381	3	0.000000	0.000000	0.000000	696	mRNA_57381	1002
Fxa1Bg01161	Fxa1Bg01161-mRNA-1	o	gene_57313	mRNA_57313	4	0.000000	0.000000	0.000000	852	mRNA_57313	855
Fxa1Cg01161	Fxa1Cg01161-mRNA-1	o	gene_56667	mRNA_56667	4	0.000000	0.000000	0.000000	852	mRNA_56667	855
Fxa1Cg02650	Fxa1Cg02650-mRNA-1	o	gene_56145	mRNA_56145	3	0.000000	0.000000	0.000000	696	mRNA_56145	1011
Fxa1Dg01169	Fxa1Dg01169-mRNA-1	o	gene_56063	mRNA_56063	4	0.000000	0.000000	0.000000	852	mRNA_56063	855
Fxa1Dg02410	Fxa1Dg02410-mRNA-1	o	gene_55546	mRNA_55546	3	0.000000	0.000000	0.000000	696	mRNA_55546	1032
Fxa2Ag00184	Fxa2Ag00184-mRNA-1	o	gene_54367	mRNA_54367	4	0.000000	0.000000	0.000000	954	mRNA_54367	840
Fxa2Ag00187	Fxa2Ag00187-mRNA-1	o	gene_54358	mRNA_54358	2	0.000000	0.000000	0.000000	849	mRNA_54358	861
Fxa2Ag01701	Fxa2Ag01701-mRNA-1	o	gene_54755	mRNA_54755	4	0.000000	0.000000	0.000000	843	mRNA_54755	1235
Fxa2Ag03929	Fxa2Ag03929-mRNA-1	o	gene_55382	mRNA_55382	3	0.000000	0.000000	0.000000	744	mRNA_55382	1089
Fxa2Bg00218	Fxa2Bg00218-mRNA-1	o	gene_52422	mRNA_52422	3	0.000000	0.000000	0.000000	954	mRNA_52422	999
Fxa2Bg00222	Fxa2Bg00222-mRNA-1	o	gene_52864	mRNA_52864	3	0.000000	0.000000	0.000000	954	mRNA_52864	999
Fxa2Bg01497	Fxa2Bg01497-mRNA-1	o	gene_51986	mRNA_51986	4	0.000000	0.000000	0.000000	843	mRNA_51986	846
Fxa2Bg03539	Fxa2Bg03539-mRNA-1	o	gene_53665	mRNA_53665	3	0.000000	0.000000	0.000000	744	mRNA_53665	1089
